epoch,accuracy,loss,val_accuracy,val_loss
0,0.6500827074050903,0.6147655844688416,0.7495538592338562,0.49635133147239685
1,0.8193154335021973,0.40133610367774963,0.8542534112930298,0.34394219517707825
2,0.8703397512435913,0.3032517433166504,0.881618082523346,0.299553781747818
3,0.8971879482269287,0.2524012327194214,0.879833459854126,0.2779822051525116
4,0.908512532711029,0.21955791115760803,0.8839976191520691,0.2794710695743561
5,0.920982301235199,0.19811110198497772,0.9048185348510742,0.24364455044269562
6,0.9245451092720032,0.17832697927951813,0.9095776081085205,0.23636308312416077
7,0.9380328059196472,0.15336647629737854,0.9048185348510742,0.24123196303844452
8,0.9491029381752014,0.13635128736495972,0.9185009002685547,0.19791390001773834
9,0.9511387944221497,0.12524186074733734,0.9220702052116394,0.19590450823307037
10,0.9596641063690186,0.10937037318944931,0.9274241328239441,0.17979392409324646
11,0.966535210609436,0.09365683048963547,0.9268292784690857,0.18479302525520325
12,0.9694617390632629,0.08651553839445114,0.8768590092658997,0.3463713526725769
13,0.9693345427513123,0.08345039933919907,0.9309934377670288,0.18210452795028687
14,0.9804046154022217,0.06279639154672623,0.9208804368972778,0.20701712369918823
