epoch,accuracy,loss,val_accuracy,val_loss
0,0.5300928950309753,nan,0.5348007082939148,0.6907716393470764
1,0.5349280834197998,0.6909363865852356,0.5348007082939148,0.6909165382385254
2,0.5349280834197998,0.690936803817749,0.5348007082939148,0.6909162998199463
3,0.5349280834197998,0.6908096671104431,0.5348007082939148,0.6911341547966003
4,0.5349280834197998,0.691124677658081,0.5348007082939148,0.6907538771629333
5,0.5349280834197998,0.6909770369529724,0.5348007082939148,0.6907620429992676
6,0.5349280834197998,0.6905679702758789,0.5348007082939148,0.6918443441390991
7,0.5349280834197998,0.6910948753356934,0.5348007082939148,0.6911444664001465
8,0.5349280834197998,0.6909860968589783,0.5348007082939148,0.6907622218132019
9,0.5349280834197998,0.6909344792366028,0.5348007082939148,0.6907631754875183
