epoch,accuracy,loss,val_accuracy,val_loss
0,0.6042753458023071,0.6583332419395447,0.7001784443855286,0.5531602501869202
1,0.7693090438842773,0.48271963000297546,0.8542534112930298,0.3716684579849243
2,0.8340755701065063,0.37046825885772705,0.9018441438674927,0.2887425124645233
3,0.8703397512435913,0.3019130229949951,0.8905413150787354,0.26530250906944275
4,0.90125972032547,0.23929055035114288,0.9309934377670288,0.19043903052806854
5,0.9193281531333923,0.20391017198562622,0.9351576566696167,0.16586554050445557
6,0.9358696937561035,0.1682700365781784,0.9446758031845093,0.14287874102592468
7,0.941468358039856,0.1499171257019043,0.9411064982414246,0.1397959142923355
8,0.9459218978881836,0.14032737910747528,0.9559785723686218,0.11257993429899216
9,0.956991970539093,0.11749774217605591,0.9577632546424866,0.121796615421772
10,0.9603002667427063,0.10647796094417572,0.9530041813850403,0.12664222717285156
11,0.9711159467697144,0.08513250201940536,0.958358108997345,0.11927565187215805
12,0.9746786952018738,0.07222018390893936,0.9601427912712097,0.10496896505355835
13,0.9749332070350647,0.06752865016460419,0.9637120962142944,0.10011298954486847
14,0.9768418669700623,0.0664878636598587,0.9672814011573792,0.1048172116279602
