epoch,accuracy,loss,val_accuracy,val_loss
0,0.5759002566337585,0.688998818397522,0.6853063702583313,0.6270163059234619
1,0.7264282703399658,0.5347334742546082,0.7995240688323975,0.4090594947338104
2,0.8226237297058105,0.3826005756855011,0.8762641549110413,0.2809763550758362
3,0.8699579834938049,0.29883185029029846,0.8953003883361816,0.24067364633083344
4,0.9053314924240112,0.23383133113384247,0.9363474249839783,0.1721051186323166
5,0.9283623695373535,0.183572456240654,0.9434860348701477,0.15514931082725525
6,0.9426135420799255,0.15169763565063477,0.9470553398132324,0.13861072063446045
7,0.950248122215271,0.13081786036491394,0.956573486328125,0.11941605806350708
8,0.9498664140701294,0.12421203404664993,0.9452706575393677,0.13248500227928162
9,0.956483006477356,0.10934784263372421,0.9607376456260681,0.10399755835533142
10,0.9660261869430542,0.08949346095323563,0.9571683406829834,0.10707815736532211
11,0.9662806987762451,0.09242287278175354,0.9672814011573792,0.08476490527391434
12,0.9664079546928406,0.08656058460474014,0.9607376456260681,0.11334927380084991
13,0.9679348468780518,0.08427559584379196,0.9577632546424866,0.11041168868541718
14,0.9800229072570801,0.05508033558726311,0.9690660238265991,0.08998244255781174
