epoch,accuracy,loss,val_accuracy,val_loss
0,0.6712049841880798,0.5851805806159973,0.7537180185317993,0.4674825370311737
1,0.8526530265808105,0.33475467562675476,0.8828078508377075,0.2869648337364197
2,0.8962972164154053,0.24521473050117493,0.9077929854393005,0.24405823647975922
3,0.9197098612785339,0.19374965131282806,0.8625817894935608,0.34478041529655457
4,0.9357424378395081,0.15264961123466492,0.9071980714797974,0.24561351537704468
5,0.9465580582618713,0.13560692965984344,0.9226650595664978,0.20592954754829407
6,0.9596641063690186,0.10663119703531265,0.9262343645095825,0.21473531424999237
7,0.9690800309181213,0.08016347885131836,0.933372974395752,0.20399236679077148
8,0.9748059511184692,0.06597120314836502,0.9155264496803284,0.26053279638290405
9,0.9804046154022217,0.05030691623687744,0.9428911209106445,0.18292894959449768
10,0.9835857152938843,0.04059452563524246,0.9351576566696167,0.19877532124519348
11,0.9860032796859741,0.03705619275569916,0.9369422793388367,0.22539344429969788
12,0.9861305356025696,0.03834085166454315,0.9381320476531982,0.2256942242383957
13,0.9902023077011108,0.027778761461377144,0.9363474249839783,0.20599767565727234
14,0.9931288957595825,0.02001427300274372,0.933372974395752,0.26021119952201843
