epoch,accuracy,loss,val_accuracy,val_loss
0,0.5191500186920166,4.391077995300293,0.5348007082939148,0.691504716873169
1,0.5687746405601501,0.6775127649307251,0.6710291504859924,0.6277675032615662
2,0.6718412041664124,0.6254776120185852,0.6817370653152466,0.6405171751976013
3,0.6900368928909302,0.5915132761001587,0.7019631266593933,0.5674357414245605
4,0.6896551847457886,0.5794657468795776,0.7180249691009521,0.5471694469451904
5,0.6995800733566284,0.5676695704460144,0.7001784443855286,0.5556190013885498
6,0.709505021572113,0.5563478469848633,0.7007733583450317,0.5483296513557434
7,0.7152309417724609,0.5526684522628784,0.7168352007865906,0.5455131530761719
8,0.7208296060562134,0.5386816263198853,0.7198096513748169,0.5107119679450989
9,0.7215930819511414,0.5310347080230713,0.7400357127189636,0.5108110904693604
10,0.7343173623085022,0.5091074109077454,0.7477691769599915,0.4698827266693115
11,0.7343173623085022,0.5136076807975769,0.7507436275482178,0.45726773142814636
12,0.7466598749160767,0.4853191375732422,0.7477691769599915,0.47711798548698425
13,0.7625651955604553,0.47593042254447937,0.8221296668052673,0.3616018295288086
14,0.7540399432182312,0.49073246121406555,0.7959547638893127,0.4231936037540436
15,0.7749077677726746,0.45203688740730286,0.7995240688323975,0.40418311953544617
16,0.8073546290397644,0.40497836470603943,0.8726948499679565,0.2986927032470703
17,0.8508716225624084,0.339077353477478,0.9190957546234131,0.23953324556350708
18,0.8571065068244934,0.32004019618034363,0.9054134488105774,0.2260282337665558
19,0.8814098238945007,0.2732199430465698,0.9196906685829163,0.20207710564136505
